thematic;card;id;bearer;reigning;conditions;lockturn;weight;question;power;faith;people;money;load;override_yes;answer_yes;yes;override_no;answer_no;no
kingdom;_;475;hand;;;;10;That was an inspiring speech! I shouldn't have doubted you. My apologies.;-1;1;1;;speech;Accepted;;;Watch yourself;;
science;;476;maester;;;500;60;May I have your permission to map the night's sky? The official maps drawn by Maester Greybane are decidedly incomplete.;-1;;2;;;;;;;;
faith;;477;high_septon;;;500;60;We need funds to restore the Septs that have fallen into disrepair. They are rare places of hope for your people.;;2+1;;-1-1;;;;;;;
faith;;478;high_septon;;;500;50;The children of the poor should receive a religious education. Let us educate them.;-1;2+1;-1;;;;;>;;;>
faith;_;479;kingsguard;;;;;And have swarms of zealots on your hands when they're grown? The children of the poor should learn military skills.;2;-3;-1;;;;;>;;;>
faith;_;480;maester;;;;;Shouldn't we start by teaching them how to read, write and count?;-1;-1;2+1;2+1;;;;;;;
spider;;481;spider;;;500;40;Strange magical rumors abound. Let me bend my ear toward these latest whispers...;;2;1;-1;;;;;;;
science;;482;maester;;;500;50;A shipment of instruments is due to arrive from the Maesters of the Citadel. Please order that no one opens the boxes.;1;-2;;;;;;;;;
science;;483;maester;;;500;50;I've received word that rare tomes have been unearthed in the ruin of Harrenhal. I wish to purchase them.;2;-1;;-1-1;;;;;;;
spider;;484;handmaiden;;;500;50;Gossip travels freely in the kitchens. Shall I report any interesting snippets to you, Your Highness?;1;;-1;-1;;;;;;;
court;;485;handmaiden;!lannister;;500;50;Choose the red outfit. It makes you glow with power, Your Majesty.;-2;;;-1;;;;;I'm no Lannister!;;
kingdom;;486;soldier;;;500;50;Young people these days just aren't drawn to the life of a soldier, and our recruitment is down. Make military service compulsory.;2+1;-1;-2-1;;;;;;;;
kingdom;;487;kingsguard;;kingslanding;500;50;We need to make more swords and daggers, but the blacksmiths of the Street of Steel are too expensive.;1;;1;-2-1;;I will pay the price;;;I will control the price;;
money;;488;soldier;;;500;50;Modern siege equipment would make us unbeatable. Really, the investment is worth it...;2+2;;;-2-1;;;;;;;
money;;489;coins;;;500;50;Remember, Your Highness, there will always be drains on your purse. Please consult me before commiting to large expenditures.;-1;;-1;2+1;;;;;;;
money;;490;coins;;;500;40;Peace is much more profitable than war.;-2;;2;1+1;;;;;;;
kingdom;;491;blacksmith;;;500;50;Metal has fallen from the sky near Oldtown! Please, let me forge you a celestial sword.;1;-1;1;-1-1;;;;;;;
kingdom;;492;hand;;kingslanding;500;100;The prisons simply cannot take one more convict. Would you consider pardoning those who agree to join our armies?;2;1;-2;1;;;;;;;>>>
kingdom;_;493;soldier;;;;;The people are complaining about the smell coming from the prison ships in the harbour.;;;1-1;;;Prison ship?;;>;I don't care;;
kingdom;_;494;hand;;;;;The prisons are full, and you didn't want convicts in your army. Ships were the only option left, Your Grace.;-1;2-1;2-1;-2-1;;Build a new prison;;;Send the ships away;;
kingdom;qualitycrow;495;crow;!jon;;500;50;The quality of the men sent to the Wall has declined considerably. You lords and ladies have forgotten who's protecting this realm.;2;;1;-2;;I'll address it;;;Fly away, little crow;;
kingdom;qualitycrow;579;crow;jon;;500;50;The quality of the men sent to the Wall has declined considerably. You have forgotten your brothers, Lord Snow.;2;;1;-1-1;;I will help you;;;My hands are tied;;
court;;496;noble;;winter;500;80;I cannot buy Arbor wine anymore! Some items are very hard to find, even when you're rich.;1;-2;-1-1;;;I'll address it;;;Drink water;;
court;;497;noble;;;500;50;There are not enough peasants to farm my land. I need more.;-1;-1;-2+1;;;I'll supply them;;;We don't have slaves;;
court;;498;nobleman;;!winter;500;100;We should organise festivities to celebrate...I don't know, some dead hero?;-1;1;-2;1;;Ned the Honorable?;;>>_startturney;Joffrey the Illborn?;<i>No one liked the idea of remembering the dark days of Joffrey's rule.</i>;
spider;;499;spider;!daenerys;power<50 age>3 and kingslanding;500;300;Whispers tell me of an assassination attempt on your person in three moons' time. Unfortunately, Your Grace, I'm certain it's true.;1;;1;;;And?;<i><spider> is gone.</i>;>>>>;I don't believe you;<i><spider> is gone.</i>;>>>>
spider;_;500;handmaiden;;;;;Your Highness, your valet is dead! He found a manticore of Essos in your bed!! And right as you were about to retire for the night...;2;;1;;;<spider>!;;>;I need a drink;;>
spider;_;501;spider;;;;;Sad news about my agent, but good to know the inspections of your chambers were fruitful. May I recommend a bold response?;2-1;;1;;;Please do;;>;Leave me alone;;
spider;_;502;spider;;;;;We should pretend the assassin succeded. Whoever ordered this will now move quickly to seize the throne, unmasking themselves.;;;1;;;I'm tempted...;;>;This is... unheard of;;>
spider;_;503;spider;;;;;It's a remarkable opportunity. Disappear for a few days, then make your glorious return, 'risen from the dead.' The people will love it!;-1;-1;-1;-1;;Do it;<i>You spend the next weeks in a hidden chamber of the Hand's Tower. Only a few echoes of what happens outside reach you. A prisoner in your own castle, you wonder if you have made a wise decision. One day...</i>;>_afterdisappear;Don't do it;;
spider;_afterdisappear;504;soldier;;;;;Who are you?;;;;;;I'm your (King*Queen)!!!;;>;Make a guess...;;>_finaldisappear
spider;_;505;soldier;;;;;Sure... and I'm the High Septon.;;;;;;What?;;>;No, but...;;>
spider;_finaldisappear;506;soldier;;;;;You do look a bit like the (King. But I saw him*Queen. But I saw her) just a few minutes ago.;;;;;;Where is <spider>?;;>;I doubt...;;>
spider;_spiderdisappear;507;spider;;;;;It was an ugly strategem. But I had to replace you with a lookalike... it's the only way to get this Kingdom back on track.;;;;;;How?;;>;Why?;;>
spider;_;508;spider;;;;;You're an appalling ruler. The Kingdom is on the verge of collapse, while the threat from the North grows every day.;0-9;0-9;0-9;0-9;;What...;;>;What...;;>
spider;_;509;end>ship;;;;;<i>The Master of Whisperers put you on a ship heading for the legendary lands of Yi Ti. No one knows if you survived the journey.</i>;;;;;;;;;;;
kingdom;;510;soldier;;has_dothraki!antagonist;500;50;The Dothraki are master horse breeders. Could we recruit them to improve our stables?;1;-1;-1;-1-1;;;;;;;
kingdom;;511;hand;;!winter;500;50;Please, let me take care of the daily tedium of kingdom management. You should enjoy your reign!;-2-1;;;-1;;;;;;;
kingdom;;512;hand;;;500;50;The commoners are modifying their dwellings with poor materials. Flea bottom is a tinder box about to catch fire.;-1;-2;-1-2;1;;Raze them;;;Inspect and issue permits;;
faith;;513;pious;;;500;120;Young people are flirting openly outside the Sept. It has become a plaza of sin!;1;2+1;-2;;;Patrols will be increased;;;To be young and in love!;;
kingdom;;514;hand;;;500;50;People do not trust the City Guards. They are setting up their own militia.;1+2;;1;-2;;Recruit the militia;;;Stop the militia;;
kingdom;;1040;hand;;;500;100;A dozen knights from House Bolton are practicing a rather loose interpretation of their vows.;;1-1;1-1;;;Which part?;;>;They all do;;
kingdom;_;1041;hand;;;;;The part about protecting the weak and upholding the good. They're pillaging market towns around Riverrun.;1-2;1;1;-1-1;;Send the army;;;Look the other way;;
kingdom;;515;hand;;;500;50;Wells have begun to dry up. A water crisis is upon us.;;;2-1;-1-1;;Dig deeper;;;Tell people to drink less;;
war;;1444;military;!lannister;lannister!antagonist;500;200;The Lannisters have betrayed us. They killed the whole company! It is war!;0-2;;-1;-1;lannister>antagonist;Send the army;;;Defend the capital;;
war;;516;hand;;greyjoy!antagonist;500;200;What remained of the Iron Fleet left King's Landing after pillaging the port!;1+1;1-1;1-1;-1-1;greyjoy>antagonist;Defend the coast;;;Locate them;;
war;;517;&maester;!stark;stark!antagonist and !one_super and !alliance_super;500;200;The North declared war on us! House Stark is calling their banners.;1+1;;1;-2;stark>antagonist;Raise the banners!;;;They took their time;;
war;;534;hand;;martell!antagonist and !one_super and !alliance_super;500;200;Dorne has declared war. Their allies are the pirates of the Stepstones, who once attacked them!;0-1;;1;1-2;martell>antagonist;Send the army;;;Defend the east;;
war;;518;&coins;!daenerys;unsullied!antagonist;500;200;The Unsullied have rallied to our enemies. They're pillaging the west!;0-1;;1;1-2;unsullied>antagonist;Send the army;;;Defend the east;;
war;;1076;&hand;!daenerys;dothraki!antagonist;500;200;The Dothraki are turning against us!;0-2;;1;1-2;dothraki>antagonist;Send the army;;;Defend King's Landing;;
court;;519;arryn;;has_greyjoy;500;100;That Greyjoy pillock compared me to a pigeon! I am descended from the Winged Knight!;-1+1;;1+1;;;How insensitive;;;Fly away then;;
court;;520;arryn;;;500;50;It would be my House's greatest honor if you would foster my son and teach him to be a great knight.;;1;1;-1-1;;;;;;;
war;;521;greyjoy!hand;;greyjoy&antagonist;500;600-50;The Iron Islanders do not accept you as (King*Queen). You did not pay the Iron Price for your rule. Pay us a tribute and we may leave your shore.;-2-1;-1;2;-1-1;;;;del_greyjoy;;;del_greyjoy
war;;522;greyjoy!hand;;greyjoy&antagonist;500;30+30;You need a sea force to protect your ships from pirates, we need to feed our Ironborn. Can we make an arrangement?;1+1;;1;-1-1;;;;greyjoy>!antagonist;;;
war;;523;greyjoy!hand;;faith>50;500;80;If you start punishing heresy, then you'll have to murder every Iron Islander. My people will never renounce the Drowned God!;;-3;1;;;I understand;;;Heretic!;;greyjoy>antagonist
kingdom;;524;greyjoy;;greyjoy!antagonist;500;40+20;My blood is made of salt and iron. One more minute in this silk-lined castle and I will have to break something.;-2;-1;;;;Try the throne;;;Go away;;del_greyjoy
kingdom;;525;greyjoy!hand;!lannister;greyjoy!antagonist;500;100;If you're having Lannister problems, we're happy to help. We're long overdue for a visit to Casterly Rock.;2;;;-1-1;;Please do;;;Don't;;
kingdom;;526;greyjoy!hand;;greyjoy!antagonist;500;80+20;Our patience is at an end. It's time to pay your debt! We demand gold, and complete sovereignty over our Iron Islands.;-1-1;;;-2-2;;;;;;;greyjoy>antagonist
kingdom;;527;martell!antagonist;;;500;100;We Dornish people are nothing if not honest. We would never use stealth or trickery to undermine you.;-1;;1;1;;I have no doubt;;;Should we bet?;;
kingdom;;528;martell!antagonist;;;500;100;You seem a little tense. I have a wonderful oil that will make your muscles melt.;;-1;1;;;Thank you!;<i>This was indeed very good.</i>;;Literally?;;
kingdom;;533;tyrell;;;500;80;The roses have been trampled, but there is still beauty in this world. Love, laughter and happiness are not out of reach.;-2;1;2;;;I agree;;;<i>Clap loudly</i>;;
kingdom;;532;tully;!stark;;500;60;Our ties to the Starks are strong. But returning order to the Riverlands and keeping our people safe has become more important.;-2;;12-28;;;Music to my ears;;;I don't care;;
kingdom;;529;stark;!stark;;500;50;You Southerners do not know the feeling of true cold in your very marrow.;-1;2;;;;I do;;;Teach me;;
faith;;546;pious;;;500;100;Bran Stark is a monstrous warg with terrible power. He is able to turn people into living puppets! Allow me to send an assassin.;1;2;-3;;;;;;;;
faith;;552;hand;;;500;60;There have been rumblings in your court that trials by combat are not necessarily the best way to bestow justice.;;-2-1;2;;;I agree;;>;I disagree;;>
faith;_;553;pious;;;;;Trials by combat reveal the favor of the Seven! It is blasphemy to abandon them!;-1;1;-1;;;;;;;;
court;;554;maester;;;500;100;You have cut your finger, your Highness. I have here a balm that will soothe your pain.;-1;-1+1;1;;;Give it to me;;>>>;I will suffer;;>>> and >>>>>>_end_fever
court;_;555;maester;;;;;The cut on your finger is not looking good. I would advise you to avoid unnecessary contact with others for the next few weeks.;-2-1;-1;2;;;;;;;;
court;;556;septon;!cersei;kingslanding;500;100;You are expected to attend today's service in remembrance of the victims of the Great Sept of Baelor.;-1;3+1;-1;;;;;;;;
court;;559;courtesan;;!winter;500;50;Your knights are restless. You should organize a contest of strength. Lifting boulders, bulls, jousting, that sort of thing.;2;-2;2+1;-1-1;;;;>>_startturney;;;
court;;560;septon;;;500;50;The heir of House Tallhart has started flaying peasants who aren't paying their tithe. You must not allow this!;1-2;2-2;2+1;-3;;I will correct them;;;I won't interfere;;
court;;561;spider;;;400;100;We suspect that the Warlocks of Qarth are trying to undermine your claim to the throne.;-2-1;2;-1;;;I doubt that;;>;But why?;;>
court;_;562;septon;;;;;They believe the Walkers' invasion of Westeros represents a perverse sort of population cull.;-1;;;-1-2;;Send spies to Essos;;>>>>>;Increase my security;;>>>>>
court;_;563;handmaiden;;;;;A gift has just arrived from the Isle of Naath! What a beautiful box... please, let me open it!;;1;1;;;Please do;<i><handmaiden> opens the box. It contains a silk scarf and a beautiful butterfly. The butterfly rests on her hand before fluttering out of the window. She screams in panic.</i>;>_565;No, that's for me;<i>You open the box. It contains a silk scarf and a beautiful butterfly. The butterfly rests on your hand before fluttering out of the window. You feel your heart thump.</i>;>
court;_;564;end>butterfly;;;;;<i>First come the pains and spasms of Butterfly Fever. Then, over an agonizingly slow fortnight, the flesh sloughs from your bones.</i>;;;;;;;;;;;
afterdeath;_after_death;1032;melisandre>fire;;>564;del;max;The ruler of Westeros at the mercy of a mere butterfly. That was unexpected...;;;;;;...;;>_ruler_choice;...;;>_ruler_choice
court;_;565;spider;;;;;Don't approach her! This butterfly is from Naath! The slightest touch could spread lethal disease.;-1;;1;;del_handmaiden;How awful!;;;You're very late;;
battle;_end_battle;793;end>knights;;;;;<i>You die quickly in the ensuing melee. The final blow falls by accident, from one of your own knights.</i>;;;;;;;;;;;
battle;_startbatnorth;735;military;;;;;The Northern forces know these woods very well. They will not break easily. Try to engage them and pin them down.;;;;;;Let's see...;;>_batnorth_events and power=50 and inc_battle;Lead the battle for me;;>_batnorth_results
battle;_batnorth_events;1420;crowd;;;reign;1;<i>From your position you have a clear view of the battlefield as both armies clash.</i>;;;;;set_battle_after>2;...;;>_batnorth_results;...;;>_batnorth_results
battle;_batnorth_events;1421;noble;;;reign;max;<i>The northmen advance as a thick fog spreads through the battlefield. The commanders are eagerly looking to you.</i>;;;;;>_batnorth_choice;;;;;;
battle;_batnorth_choice;745;soldier;;>;10;10;Infantry$<i>Your infantry manages to stop the enemy's advance. They're now a static target but the fog is too thick for their archers to fire.</i>;0+1;;;;power++;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_choice;1422;soldier;;<;10;10;Infantry$<i>Your infantry moves too slowly to do anything. The Northmen wash over your positions.</i>;-2;;;;power---;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_events;1423;military;;inc_battle=3;reign;max;<i>A group of Wildlings emerges suddenly from the fog. They're threatening you directly .</i>;;;;;>_batnorth_choice;;;;;;
battle;_batnorth_choice;1424;archer>helmet;;>;10;10;Archers$<i>Your archers regroup around you and send a few volleys of arrows that hack through the Wildlings.</i>;1+2;;;;power+;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_choice;1425;archer>helmet;;<;10;10;Archers$<i>Your archers send volley after volley in the melee with mixed results.</i>;1+1;;;;;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_events;1426;throne;;;reign;100000;<i>The fog finally lifts, revealing a large party of Northmen on your left flank. This is the final stand.</i>;;;;;>_batnorth_choice;;;;;;
battle;_batnorth_choice;1427;kingsguard>helmet;;>;10;10;Knights$<i>You lift your arm and instantly your Knights storm the Northern forces, catching them by surprise.</i>;1+1;;;;power+++;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_choice;1428;kingsguard>helmet;;<;10;10;Knights$<i>In the fog, your Knights are disorganised and not very efficient.</i>;-2;;;;power--;Press on!;;>_batnorth_events;Regroup;;>_batnorth_events
battle;_batnorth_results;1429;military;;;;10;We've lost this battle.;;2-1;2-1;2-1;!inc_battle and kingslanding;Pray to the Warrior;;>_end_battle;Run!;<i>Your scattered forces flee the battlefield back to King's Landing. Though harassed by the enemy you finally reach the Capital.</i>;set_kingslanding and passturn
battle;_batnorth_results;1430;military;;power>50;;max;We're crushing them!;-2+3;1;2-1;;!inc_battle and stark>!antagonist and kingslanding and power=50;Bring their leader;<i>A fragile peace ensued after the battle. You come back to King's Landing with a hostage.</i>;set_kingslanding and passturn;No mercy;<i>The Northern forces are crushed to death. You come back to King's Landing hearing distressed whispers from your own soldiers.</i>;set_kingslanding and passturn
battle;;566;&hand;;;;0;Should we proceed to the battlefield, Your Grace?;;;;;;;;>;;;
battle;wardorne;794;military;;martell&antagonist and kingslanding;reign;200;We have spotted the Dornish forces out towards Storm's End. Shall we prepare for battle?;3-1;1;1;;;;<i>You leave King's Landing for the Stormlands in the morning. It is cold and damp.</i>;> and set_battle_before and !kingslanding;;;
battle;_startbatdorne;1298;military>helmet;;;;;The Dornish forces are strong but undisciplined. Will you lead us in this battle?;;;;;;;;>_batdorne_events and power=50 and inc_battle;;;>_batdorne_results
battle;_batdorne_events;1299;crowd;;;reign;1;<i>The battle unravels in front of you. From every direction, fire and fury are spreading.</i>;;;;;set_battle_after>2;...;;>_batdorne_results;...;;>_batdorne_results
battle;_batdorne_events;1300;military;;;reign;max;<i>You noticed their archers are struggling to keep up with the rest of the Dornish forces. Your commanders are looking at you.</i>;;;;;>_batdorne_choice and archers_late;;;;;;
battle;_batdorne_choice;1301;archer>helmet;;archers_late;10;10;Archers$<i>You shoot a barrage of flaming arrows, bringing chaos to the enemy ranks and preventing their archers from approaching.</i>;1+1;;;;power++;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_choice;1302;archer>helmet;;!archers_late;10;10;Archers$<i>Your archers keep their counterparts at bay. Your soldiers are now under much pressure, but the next move is yours.</i>;-1-2;;;;archers_late and power++;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_events;1303;anyone;;archers_late;reign;1000000;<i>The Dornish infantry is trying to pierce your left flank. Their archers are far away.</i>;;;;;>_batdorne_choice;;;;;;
battle;_batdorne_choice;1304;kingsguard>helmet;;archers_late;10;10;Knights$<i>You destroy their infantry as if they were lambs awaiting slaughter. </i>;1+1;;;;!archers_late and power++;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_choice;1305;kingsguard>helmet;;<;10;10;Knights$<i>Your Knights ride fiercely, but they get too close to the Dornish archers who send a deadly volley of arrows that decimate your ranks.</i>;-2-1;;;;power-;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_choice;1306;soldier;;archers_late;10;10;Infantry$<i>Your infantry attacks the Dornish forces head-on.</i>;-1-2;;;;!archers_late and power--;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_choice;1307;soldier;;!archers_late;10;10;Infantry$<i>Your infantry is floundering under a continuous stream of arrows.</i>;-2-1;;;;power---;Press on!;;>_batdorne_events;Regroup;;>_batdorne_events
battle;_batdorne_events;1308;throne;;;reign;1000000;<i>The Dornish riders are trying to pierce your centre. Their archers are in position and threaten you.</i>;;;;;!archers_late and >_batdorne_choice;;;;;;
battle;_batgeneric_choice;1318;lannister_soldier;jaime;;10;10;Red guards$<i>Disciplined and deadly, the Lannisters troops advance with force.</i>;1;;;;power+;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1309;freefolk;stark;!archers_late;10;10;Wildlings$<i>Unburdened by heavy equipment, they surge ahead with bravery and speed. Unfortunately, few survived the arrows.</i>;-2-1;;;;power--;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1310;freefolk;stark;<;10;10;Wildlings$<i>The wildlings manage to sneak up on the enemy from the west, surprising them in the rear.</i>;-1+2;;;;!archers_late and power++;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1319;lannister_soldier;arya;;10;10;Red guards$<i>Disciplined and deadly, the Lannister troops advance with brutal force.</i>;1;;;;power++;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1320;militant;gendry;has_militant;10;10;Militants$<i>The Faith Militant throws its forces in to the melee singing exalted odes to the Warrior.</i>;-1+2;0+2;;;power+;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1698;commoner_male;gendry;<;10;10;Smallfolks$<i>Undisciplined and furious, a mob made up of farmboys and peasants charge the enemy in your name.</i>;-1;;;;power+;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1311;banker;tyrion;;10;10;Bribes$<i>A small company suddenly turns against your enemy. Your money was well spent.</i>;0+2;;;;!archers_late and power+;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1312;pyromancer;cersei;inc_battle>1;10;10;Wildfire$<i>The world glows green as concussions of wildfire shatter the battlefield.</i>;-1;;;;power+++;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1313;pyromancer;cersei;inc_battle=1;10;10;Wildfire$<i>You order the ignition of the wildfire vials scattered across the battlefield too soon. You gain no advantage from the display.</i>;-1;;;;!archers_late and power-;Press on!;;>_somecard;Regroup;;>_somecard
battle;_batgeneric_choice;1314;drogon>open1;daenerys;!archers_late;10;10;Drogon$DRACARYS! <i>Although harried by a few arrows, Drogon lays waste to their army.</i>;1;;;;power+++;Press on!;;>_somecard;Enough!;;>_somecard
battle;_batgeneric_choice;1315;drogon>open1;daenerys;<;10;10;Drogon$DRACARYS! <i>Drogon engulfs the battlefield in fire. Tens of thousands of men will die if you press on.</i>;1;;;;power++++++;Press on!;;>_somecard;Enough!;;>_somecard
battle;_batdorne_results;1316;military;;;;10;We've lost this battle.;;2-1;2-1;2-1;!inc_battle and martell>!antagonist and kingslanding;Pray to the Warrior;;>_end_battle;Run!;<i>Your scattered forces flee the battlefield back to King's Landing. Though harassed by the enemy you finally reach the Capital.</i>;set_kingslanding and passturn
battle;_batdorne_results;1317;military;;power>50;;max;We're crushing them!;-2+3;1;2-1;;!inc_battle and martell>!antagonist and kingslanding and power=50;Bring their leader;<i>A fragile peace ensued after the battle. You come back to King's Landing with a hostage.</i>;set_kingslanding and passturn;No mercy;<i>The Dornish forces are crushed to death. You come back to King's Landing hearing distressed whispers from your own soldiers.</i>;set_kingslanding and passturn
money;;580;coins;;;500;50;We don't have enough silver to mint coins. How about a system of paper tokens?;;-1;-2;2+1;;;;;;;
money;;581;coins;;;500;50;We could introduce a new tax for landlords, though it may ruffle the feathers of a few Houses.;;;2;2;;;;;;;
money;;582;coins;;;500;60;You want to keep an eye on the major Houses? Appoint them into offices close by, and make them pay for the honor.;2;;-1-1;2;;;;;;;
money;;583;coins;;;500;50;One of your bannermen is imposing tolls on local roads, and collecting trade tariffs of his own. Will you tolerate this?;-1;;;-2-1;;;;;;;
money;;584;coins;;winter;500;60;We should send a representative to Myr to buy grain. Winter grows harder every day, and the spectre of famine looms.;1;1;2;-1-1;;;;;;;
faith;;585;pious;lannister;;400;100;Your heart has gentled and your spirit has become noble.;-1;2+1;1;;;;;;;;
lover;;798;courtesan;;;400;130;I can be a good listener, and I have a few other skills not taught in the pleasure houses of Braavos!;;-1;2;-1;;;<i>You are charmed with her wit and intelligence and a strong bond of friendship begins to grow.</i>;;;;
lover;;586;courtesan;jaime;!jaime_super;400;130+70;I saw you once before. You are no longer the man you were.;-1-1;;;;;<i>Look down</i>;<i>You walk away from the courtesan, staring at your golden hand.</i>;>>>>>;Before what?;;>
lover;_;587;courtesan;;;;;Your sister. <i>She can't help whispering.</i>;-1;;1;;;Wait...;;>;Go away!;;>>>>
lover;_;588;courtesan;;;;;Won't you come to my chamber, Your Grace? I can make you forget your worries.;1;;1;-1;;;<i>Though part of you wishes to, the shadow of your first and only love fills your view.</i>;>>;;;
lover;_;589;courtesan;;;;;Do you not find me beautiful? Am I not good enough for you?;-1;-2-1;2;-1;;It's not that;;courtlove;Not really;;
lover;;590;courtesan;jaime;courtlove;400;10+80;How much do you trust your brother?;1;;-1;;;Enough, why?;;>;I don't, why?;;>
lover;_;591;courtesan;;;;;He paid me to seduce you, though that didn't work out...;-1+1;;;;add_tyrion;Interfering little shit;;>;Waste of money;;>
lover;_;594;tyrion;;;;;I was trying to help you, brother! You've been moping around. I do know a nocturnal visitor always cheers me up!;;-1;;;;How could you?;;>;You should know...;;>
lover;_;595;tyrion;;;;;I apologise profusely. If you're determined to lay alone night after night, who am I to argue?;1;;1;;jaime_super;Indeed;;;Get out;;
council;smallcouncilstart;597;hand;;dynasty>0 and kingslanding;reign;30+20;Would you like to join the small council? Anything in particular you'd like to discuss?;1;;1;;;Yes...;;>_council_choice and nb_council+;No, thank you;;
council;smallcouncilstart;598;hand;;dynasty>0 and kingslanding;reign;30+20;The small council is about to begin. Anything you wish to add to our agenda?;1;;;;;Yes...;;>_council_choice and nb_council+;No, thank you;;
council;smallcouncilstart;1458;hand;;dynasty>0 and kingslanding;reign;30+20;We have urgent items to discuss during the small council if you wish to join us.;1;;;;;Yes...;;>_council_choice and nb_council+;No, thank you;;
council;smallcouncilstart;1459;hand;;dynasty>0 and kingslanding;200;30+20;We are struggling to get everyone together for the small council meeting.;2;;;;;I will not wait...;;>_council_choice and nb_council+;Don't bother;;
council;_;604;hand;;kingslanding;;;Another small council starts now. Do you wish to attend?;1;;;;;;;>_council_choice and nb_council+;;;
council;_council_choice;599;kingsguard;;war>0;4;10;Diplomacy$Certainly, we could review our strategic plans. If you would allow me...;1+1;;;;;Please...;<i>Which of your enemies would you like to talk to?</i>;>_war_choice and >>>>>>>_604;Forget it;;>_council_choice
council;_council_choice;1220;maester;;seen_227;4;10;Winter$You wish to discuss the way we could survive winter?;;;;;;Please;;>_research_choice;Forget it;;>_council_choice
council;_council_choice;636;maester;;!seen_227;4;10;Projects$You wish to talk about our projects for the Capital?;;;1+1;;;Let's see...;;>_building_choice;Forget it;;>_council_choice
council;_council_choice;680;spider;;has_spider;4;10;Whispers$Of course... although we should talk in a more confidential setting. Will you follow me?;;;;;;;<i><spider> leads you to a small room where a few of [his%her] little birds are waiting for you.</i>;>_whispider_choice;Forget it;;>_council_choice
council;_council_choice;603;hand;;;1;10;Leave$Are you leaving? Would you like to be notified when the next council occurs, five moons from now?;1;;1;;;;;>>>>>>_604;;;
council;_research_choice;1221;maester;;;;0;That's everything we can do for now.;1-1;;;;;Any other items?;;>_council_choice;Finish without me;;
council;_research_choice;1699;military;;nb_glass>0;10;10;Dragonglass$We could accelerate the rhythm at which we excavate dragonglass.;;;;-1-1;;Do it;;nb_glass++;Forget it;;>_research_choice
council;_research_choice;1223;spider;;<;10;10;Information$I would like to ask the Night's Watch to report on the movements of the Army of the Dead.;;;;;;Do it;;;Forget it;;>_research_choice
council;_research_choice;1222;pyromancer;cersei;seen_227;reign;10;Wildfire$I just received a raven from Qohor. They have made a breakthrough in the study of wildfire. Let me carry on this research.;;;;-1-1;;Do it;;wildsearch;Forget it;;>_research_choice
council;_research_choice;1778;hand;;kingslanding;10;10;Winterfell$You... you wish to travel to Winterfell. But... why?;1;;;;;Do not question me;;>>_wintercourt;Forget it;;>_research_choice
council;_research_choice;1224;coins;;;10;10;Trade$I suppose we could encourage trade across the Narrow Sea to fill our granaries.;;;;1+1;;Do it;;;Forget it;;>_research_choice
;_building_choice;1225;maester;;;;0;Unfortunately that's everything we can feasibly build at the moment.;-1;;1;;;Thank you;;;Useless;;
council;_building_choice;726;septon;;greatsept and !greatseptdone;10;10;Great Sept$We're struggling to rebuild the Great Sept. Your support is essential.;;3;2;-2-2;;;;;Forget it;;>_building_choice
council;_building_choice;727;septon;;!greatsept and !greatseptdone;10;10;Great Sept$You... you want to rebuild the Great Sept of Baelor?;;3+1;;-2-2;;;;greatsept;Forget it;;>_building_choice
council;_building_choice;1700;spider;;;reign;10;Tourney$The Kingdom is falling from the War of the Five Kings directly into Winter. Give your people a distraction, a Grand Tourney for example.;1;1;2+1;-1-1;;Do it;;>_startturney;Forget it;;>_building_choice
council;_building_choice;728;goldcloak>helmet;;<;10;10;Walls$We could indeed reinforce the walls of King's Landing.;2+1;;1;-1-1;;;;greatsept;Forget it;;>_building_choice
council;_building_choice;729;hand;;!brothel;10;10;Brothel$You want to reopen Littlefinger's brothel? Certainly, it can be done.;;;2+1;-1-1;;Do it;;brothel;Forget it;;>_building_choice
