thematic;card;id;bearer;sign;conditions;lockturn;weight;question;override_yes;answer_yes;yes_church;yes_kingdom;yes_people;yes_economy;yes_custom;override_no;answer_no;no_church;no_kingdom;no_people;no_economy;no_custom;load_custom;vide
court;;834;handmaid2;;dynasty=3;reign;max;You say you plan to make actual... decisions here? Isn't that a bit bold, from a young Queen?;Watch yourself;;;10;-10;;>;I suppose;;;-5;-5;;>;;
court;_;835;chamberlain;;;;;Yes, it's most unconventional, this type of behavior from a Queen. People are gossiping...;You're gossiping!;;;-4;4;;>;Silence, fool!;;;4;-4;;>;;
court;_;836;king;;;;;What's this racket? You had better obey my wife. What harm can it do?;My love...;;9;;5;;>;Harm?!;;-10;8;;;>;;
court;_;837;king;;;;;After all, she'd have to be a god to have any real power here in <i>my</i> kingdom. Heh heh! Carry on, darling!;Wow thanks;;;-8;-10;;decisions;The word is <i>goddess</i>!;;;12;8;;decisions;;
church;;838;archbishop;;decisions;del;80;The King may allow your girlish ideas, but take care not to cross the church. We have no use for a domineering woman.;Of course;;17;-8;-8;;;Ha ha, <i>cross</i>? Get it?;Women have no skill with jokes, <i>he says soberly.</i>;-16;8;8;;;;
court;;900;hunter;;foxfind and !zoo;200;100;Sweet Queen, I'm delighted by your recent interest in animals. Let us build a royal zoo, a tribute to your tenderness!;;;5;5;10;-5;>>>>;;;-5;-5;-10;;;;
;_;901;chamberlain;;;;;Whoop! The Queen's own royal zoo is now completed! Will you take an inaugural tour?;Yes!!;;;5;5;;>_visitzoo;Already over it;;;;-10;;;zoo;
;;902;hunter;;zoo;140;30;My lady, shall we visit the royal animals in your zoo?;;;;;;;>_visitzoo;;;;;;;;;
;_visitzoo;903;cat;;;4;10;Mew! Meow...;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;_visitzoo;904;perle;;;4;10;Prrrr, prrr...;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;_visitzoo;905;fox;;;4;10;Snerk... grr;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;_visitzoo;906;dog;;;4;10;Bork! Bork, bork!;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;_visitzoo;1202;cow;;;4;10;<i>The royal cow looks at you with an all-knowing expression.</i>;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;play_redspellbook;1203;cow;;see_cow;10;max;I am honored among cows for my beauty and wisdom. Have you come to me seeking insight?;Yes please;;-5;;5;;>_royalcow;<i>Exit the zoo</i>;;;;;;;animals;
;_royalcow;1274;cow;;!pistol;10;10;A quest to Northern lands should lead you to gifts of armaments.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1275;cow;;!advancedclock;10;10;One who deals in goods and trade may know the way to coax life into silent gears. ;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1276;cow;;!enameledbone;10;10;This land is full of holy reliquaries, but surely some of them contain only animal bones.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1277;cow;;;10;10;Of course there is more to you than motherhood. But why not have both a prince and a princess, if you can?;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1278;cow;;!eclipse_reign;10;10;The time of the black sun won't arrive on its own. It must be summoned.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1279;cow;;;10;10;Many events can only occur under a particular astrological sign. Acquaint yourself with the labyrinth of destiny...;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1280;cow;;;10;10;The charm of the royal perfume may stave off the torches of religious persecution.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1281;cow;;;10;10;When a man refuses to duel you, try evolving your means of attack.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1282;cow;;;10;10;Have you ever met a witch during an eclipse? I recommend it.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1283;cow;;;10;10;Got a brew in a bottle? Then it can be made stronger by one who knows the art.;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;_royalcow;1303;cow;;;10;10;In the age of Sagittarius, the Queen may sail the river...;;;;;;;;Tell me more;I offer one maxim per visit, <i>the cow coos.</i> See you soon.;;;;;;;
;play_redspellbook;1062;dog;;see_dog;;max;Today is great! Do you have a bone? Throwing a bone means a great day!;;;;;;;;;;;;;;;animals;
;play_redspellbook;1063;perle;;see_perle;;max;Why do you work as a 'queen'? Would you not rather only lie down and eat?;;;;;;;;;;;;;;;;
;_visitzoo;907;snake;;;10;4;Hssss, what am I doing in this zoo, hss?!;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;_visitzoo;908;king;;;10;4;I love this zoo, and all the animals! Why can't it be mine too? The King *and* Queen's Royal Zoo.;<i>Next animal</i>;;;;;;>_visitzoo;<i>Exit the zoo</i>;;;;;;;;
;;909;king;;!has_judge and dynasty>5 and people>50;del;50;Gentle wife, will you help counsel the kingdom's High Judge on some cases?;;;5;5;10;5;add_judge and >>>>;Boring!;;-5;-10;-10;-5;;;
;;910;judge;;;400;8;A man trespassed on his neighbor's farm, and was gored by his neighbor's ox. Is he entitled to damages?;;<i><judge> rules the ox was negligently sharpened, and pays the trespasser.</i>;15;-15;-10;8;;;<i><judge> rules there should be a goring allowance for farm intruders.</i>;-10;10;18;-5;;;
;;911;judge;;;400;10;A young lady was killed by bandits on her way to her wedding. Does the husband's family still get the dowry?;;<i><judge> rules that a verbal wedding plan is sufficient to dowry entitlement.</i>;10;10;-15;10;;;<i><judge> rules that deceased bridal property in transit returns to the family of origin.</i>;-14;-15;15;-8;;;
;;912;judge;;;400;10;This horse was owned by one soldier, but raised by another. Which soldier gets to keep the horse's war medals?;The owner;<i><judge> rules that title ownership directly determines animal award inheritance.</i>;10;-8;12;8;;The raiser;<i><judge> rules under a special wartime proviso that credits handlers with animal awards.</i>;-10;15;-8;10;;;
;;913;judge;;;350;10;Lightning struck a cherry tree. After it fell, a neighbor kid ate all the fruit. Do the parents have to pay the tree owner?;;<i><judge> rules that fruit-bearing trees felled by accident are not public domain.</i>;8;-15;6;-10;;;<i><judge> rules that private fruits are considered 'discarded' if felled by an act of god.</i>;-5;10;-9;8;;;
;;914;judge;;;400;10;Some people were injured attending an event called "World's Largest Bonfire". Does the state pay reparation?;;<i><judge> rules that events must ensure bonfire sizes are explicitly marked.</i>;-10;-10;-10;-10;;;<i><judge> rules that lands which permit bonfires owe free basic fire education to all.</i>;10;10;10;10;;;
;;915;judge;;;400;10;A woman was rejected by her betrothed after a beauty cream gave her hives. Must the manufacturer now marry her?;;<i><judge> rules that basic beauty standards must be guaranteed by cream bachelors.</i>;12;8;-16;5;;;<i><judge> rules that brides are responsible for wedding hygiene risks they voluntarily incur.</i>;-11;-8;16;5;;;
;;916;judge;;;400;10;This man was caught with illegal blueprints of the palace. He claims he thought they were modern art. Is he guilty?;;<i><judge> rules that the cubist movement clause does not cover sensitive materials.</i>;8;10;-8;-10;;;<i><judge> rules that images of public structure do not constitute criminal intent.</i>;-8;-10;8;10;;;
;;917;judge;;;400;10;This woman pretended to be her own twin in order to get gifts from her twin's husband. Is it illegal?;;<i><judge> rules that the 'twin sister entitlement' does not apply to gifts under duress.</i>;8;8;-10;-10;;;<i><judge> rules that 'extremely close' family likeness constitutes gift qualification.</i>;10;12;8;8;;;
;;918;judge;;;400;10;A duchess claims her lord husband has given her no birthday gift in 17 years. Does it constitute neglect?;;<i><judge> rules that notable spouses are obliged to a minimum public show of expenditure.</i>;-8;-10;5;5;;;<i><judge> rules that spousal austerity is protected under freedom of expression law.</i>;5;-15;10;-6;;;
;;919;doctor;;;400;10;I'm researching the mythical properties of Westerners' hard organs, like teeth and bones. Can I have a fingernail?;Sure;;-15;5;-5;;;Sure... wait, no!!;;10;-5;10;;;;
;play_chickenbone;920;doctor;;>;;;Ah, a mysterious bone! It looks like an angel's... surely I can use a little bit of this in my experiments. Thanks!;No problem;;;;15;;;Weirdo;;;;15;;;;
;play_chickenbone;921;dog;;see_dog;15;10; <i><dog> brings it back! He looks so cute, you almost want to throw it again!</i>;Good boy;;;;;;;That's enough;;;;;;;;
;play_chickenbone;922;dog;;see_dog;;7;<i><dog> brings back the bone.. and a page torn from an old book!</i>;<i>Read it</i>;<i>It says,</i> ...invented by Astromancer Villennius, the clock can alter destiny when used on Sign Stones.;;;;;;That's enough;;;;;;;;
;;923;archbishop;;has_priestess;400;16;In your latest portrait, you are painted clasping poppies and wearing a wreath of gold. These are evil emblems!;I'll change it;;10;-5;-5;;>>>_portraitresult;You're imagining things;;-14;10;5;;;;
;_portraitresult;924;priestess;;;4;10;You changed your portrait to one with church iconography?! The Lady of the Wood will be distressed.;I'll change it;;-8;;10;-5;>>>_portraitresult;It's only a picture;;8;;-10;5;;;
;_portraitresult;925;king;;;4;10;What's with your royal portrait? You look so neutral, there's nothing alluring in your eye at all!;I'll change it;;-10;5;10;-5;>>>_portraitresult;You have the real thing!;;8;-5;-8;5;;;
;_portraitresult;926;archbishop;;;4;10;The changes to your royal portrait are unacceptable. That gleam painted into your eye? Think of the example you set!;I'll change it;;8;-8;-8;-8;>>>_portraitresult;Ignore my picture!;;-8;8;8;8;;;
;_portraitresult;927;general;;;4;10;Your royal portrait is a little dull... You should be in seraphic armor, raising our flag over the battlefield!;I'll change it;;5;10;-5;-10;>>>_portraitresult;No one asked you!;;-5;-8;5;12;;;
;_portraitresult;928;farmer;;;4;10;M-Majesty, your new portrait is so glamorous! It's a little, um... alienating. I just don't see myself represented in it at all.;I'll change it;;6;-9;8;-6;>>>_portraitresult;Who cares?;;5;9;-9;10;;;
magic;;929;doctor;;;400;12;Be honest with me: You're not an entirely scientific queen. Are you into a little bit of... magic?;A bit;;-10;10;5;20;>;Gotta go;;-5;-5;-5;-5;;;
magic;_;930;doctor;;;;;Well, I'm drawing a catalog of rare plants, and some of them are a little... risky. May I order the seeds anyway?;Sure;<i><doctor>'s catalog is soon completed and released to great acclaim...</i>;-100;-100;-100;-100;>_end_vines;Avoid plants;;;5;5;;;;
deaths;_end_vines;931;end>vines;;;;;<i>...until one of the magic seeds sprouts, and rampaging vines strangle everything in the palace, including you.</i>;;;;;;;;;;;;;;;;
church;;932;general;;has_archbishop and has_king;400;10;<archbishop> says the Holy Army he builds is only for ceremony's sake, but it worries me. How much can we trust the church?;We must;;15;-20;;;;We'll see...;;-14;20;;;>>>;;
church;_;933;king;;;;;<general> shouldn't worry. The Holy Army is fine! In fact, I'm about to mail this letter, permitting them here.;Sounds good;;8;-15;10;;;I'll mail it;<i>You drop the letter in a fireplace when no one is looking.</i>;-13;8;-10;;>>>;;
church;_;934;archbishop;;;;;The King pledged to support the church's Holy Army, but then oddly withdrew. Tell the truth: Was it your doing?;;Then the crown and the church are in open conflict here, <i>he shouts.</i>;-15;15;12;-10;churchwar;;Whoever did it left no evidence, <i>he hisses</i>, so that person is lucky.;;-12;-10;10;;;
church;;935;banker;;;400;10;As the church grows in power here, more pilgrims are visiting the capital. Should we impose a tourist tax?;;;-5;6;8;15;>>;;;3;5;;5;;;
church;_;936;archbishop;;;;;There's now a tax on pilgrims? Wonderful idea. And of course, you plan to grant the church our share...;;;15;;;-10;;;;-10;10;;4;;;
;;937;chamberlain;;prince_reign and age<7;400;30;A letter from your son's boarding school! Ooh, let us take a guess what the prince is doing best at!;Combat!;The young prince gallantly reminds us every day he is the King's son, <i>the teacher writes</i>.;;10;-10;;;Literature!;The young prince gallantly reminds us every day he is the King's son, <i>the teacher writes</i>.;10;-10;10;;;;
court;;938;chamberlain;;prince_reign and !has_prince and age>7;reign;50;Wonderful news, my lady! Your son the prince has returned to the palace! He asks if you have time for a visit.;;;;;;;add_prince and >;;<i>It's probably best he starts learning to be independent.</i>;;;;;;;
court;_;939;prince;;;;;Mother! You look so changed! The other boys at sword school were mean, but I showed them I'm a King's son!;Wonderful, darling;I shouted 'my Dad's the King!' I've such a loud voice, Mother! <i>he shouts.</i>;;;;;;How's that?;I shouted 'my Dad's the King!' I've such a loud voice, Mother! <i>he shouts.</i>;;;;;;;
court;;940;prince;;;400;30;Mother, dear mother, should I choose my bride for her looks, or for the political advantages?;Looks matter;;-19;-5;18;-10;;Be strategic;;18;10;-12;10;;;
court;;941;prince;;;400;30;I wanted to do a little hunt, but Father's huntsman says he's tired. Mother, make him get up and take me, now!;Stop whining!;;;17;;;;Okay, darling;;;-10;;;;;
court;;942;prince;;;400;30;Mother! Guess what, I can do a hundred push-ups in one minute! Watch me, and count!;Very good, dear;;-5;7;-7;;;Read a book!;;15;-10;5;;;;
court;;943;prince;;;400;30;If father dies, then I'll be King next, right? ;No, I'll be Queen;;-16;5;12;;;Yes, darling;;18;-12;-8;;;;
court;;944;prince;;;400;30;Mama, girls don't seem to like me. Is it because I'm not kind? Or is it because I'm not confident?;Be kinder!;;;-16;15;-5;;Be more confident;;;14;-16;10;;;
court;;945;king;;has_prince;400;300;Our son has been pestering all the generals. Don't you think it would be better if he went back to his education?;;<i>Your boy soon leaves your side again.</i>;;5;-5;3;del_prince;;<i>It's too lovely having your precious boy by your side!</i>;4;-10;5;;;;
court;;946;chamberlain;;daughter_reign and age<7;400;30;We received a letter from your daughter's fine school in the city! I wonder if she's grown beautiful?;Of course;<i>Your daughter is a delightfully challenging girl,</i> it says.;;8;12;;;That's not important;<i>Your daughter is a delightfully challenging girl,</i> it says.;;-12;-12;;;;
court;;947;chamberlain;;daughter_reign and !has_princess and age>7;reign;50;What a surprise! Your daughter the princess has come home! She asks if her honored mother the Queen has time to visit.;;;;;;;add_princess and >;;<i>You did the labor to create her, wasn't that enough?</i>;;;;;;;
court;_;948;princess;;;;;Mama! You are looking so sweet. I told all my friends: Have hope, you can look well while old, just look at my Mama.;Oh sweetheart;;8;;8;;;You brat!;;;8;-8;;;;
court;;949;princess;;;400;50;Must I marry at sixteen like some commoner? Mama, what's more important for me while I am young and beautiful?;Education;;-10;-5;5;16;;A good marriage;;12;5;12;;;;
court;;950;princess;;;400;50;Of course I care about poor people. So let us give away a fun party dress to each family! Can we, Mama?;;;-12;;8;-19;;;;-11;;-15;15;;;
court;;951;princess;;;400;50;Mama, can my friends and I borrow the guillotine? We're having a party. It's just for decoration!;Be careful;;;-17;8;;>>;It's not a toy!;;;16;-8;;;;
court;_;952;nobleman;;;;;This is awkward, but... my nephew was accidentally guillotined at your daughter's party. Did you know about this?;Kids will be kids;;;;;;>;How horrible!;;;;;;>;;
court;_;953;nobleman;;;;;It occured on palace grounds, with royal execution gear! I'm told your daughter was having a grotesque party?;It was my party;<i>You take responsibility for the incident and pay embarassing restitution costs.</i>;;15;-20;-26;;She was!;<i>Your daughter is getting a strange reputation, but she needs to take responsibility.</i>;;-18;15;16;;;
court;;954;princess;;has_priestess;400;40;Mama, that girl in the flower crown, is she from a music festival? How awful! Why's she here?;She's my friend;;-10;;8;;;Don't know;;5;;-10;;;;
court;;955;king;;has_princess;400;40;Our daughter is asking for money to go try a music career. Wouldn't it be good for all of us if she went... somewhere?;;<i>You soon hear she is writing lute music under the pseudonym 'Royale'</i>.;;8;8;-18;del_princess;;<i>Your little songbird must stay by Mama's side!</i>;;;;;;;
affairs;;956;handmaid;;dynasty>5 and has_king;150;40;Oh Queen, let us be true friends! Tell me: Is there anyone at court whom you love, in secret?;Well...;;-5;-5;10;;>_secretchoice;I love the King!;;10;10;;;;;
affairs;_secretchoice;957;handmaid;;has_hunter;4;100;Is it... your husband's master of the hunt?;It's true!;;-3;;10;;affair1_reign and >_secretresult;No...;;;;;;>_secretchoice;;
affairs;_secretchoice;958;handmaid;;has_explorer;4;90;Is it... the brave explorer from far away?;It is!;;-3;;;10;affair2_reign and >_secretresult;No...;;;;;;>_secretchoice;;
affairs;_secretchoice;959;handmaid;;has_cossack;4;80;Is it... the strong warrior woman who came down from the Northwest?;I admit it!;;-3;10;;;affair3_reign and >_secretresult;No...;;;;;;>_secretchoice;;
affairs;_secretchoice;960;handmaid;;has_priestess;4;70;Is it... the acolyte from the woods cult, who danced hand in hand with you on your coronation?;Yes, it is!;;-3;;10;;affair4_reign and >_secretresult;No...;;;;;;>_secretchoice;;
affairs;_secretresult;1314;handmaid;;;4;;Whenever you wish to discuss secret love, show me the royal perfume. That will be our signal!;;;;;;;;;;;;;;;;
affairs;_secretchoice;961;handmaid;;;4;5;Then... can it be... me?!;;<i>She pretends not to believe you, only shouting 'oh'!</i>;;;;;>_secretresult;;Perhaps I'll guess it another time, <i>she says coyly.</i>;;;;;>_secretresult;;
affairs;;1271;handmaid;;affair1_reign and affair2_reign and affair3_reign and affair4_reign;reign;max;Your Highness! Truly no Queen in history has ever managed so many lovers at once. I'm in awe of you!;It's nothing;;;;;;;I'm an original;;;;;;;allaffairs;
affairs;play_clearperfume;1315;handmaid;;see_handmaid;;;Eeee! It's the secret love signal! Then, who is in your heart and mind, my Queen?;Come closer...;;;;;;>_secretchoice;Not now;;;;;;;;
affairs;play_clearperfume;1387;hunter;;see_hunter;;;Ah, my heart... although I am your husband's man, I cannot help myself from your charms! Do you feel the same?;;;;;;;affair1_reign;;;;;;;;;
affairs;play_clearperfume;1388;explorer;;see_explorer;;;Do I catch the whiff of love on you, my Queen? Should I next explore... your heart?;;;;;;;affair2_reign;;;;;;;;;
affairs;play_clearperfume;1389;cossack;;see_cossack;;;You don't need a fancy scent to interest me, cute Queen. Should we... wrestle more often?;;;;;;;affair3_reign;;;;;;;;;
affairs;play_clearperfume;1390;priestess;;see_priestess;;;We come from such different worlds... I never learned to resist charms like yours. Do you have feelings for me?;;;;;;;affair4_reign;;;;;;;;;
affairs;;962;hunter;;!affair1_reign;150;20;I am your husband's loyal servant. Yet you are so noble, my Queen... is there... something between us?;Yes!;;-14;-3;14;;affair1_reign;No!!;;;10;-3;;;;
affairs;;963;hunter;;affair1_reign;400;40;Your maid knows about us. Shall we escape this party and... hide in the garden maze?;Yes!;;;;;;>_maze and !nb_sun;Not today;;;;;;;;
affairs;;964;hunter;;affair1_reign;400;40;A gift for my true love: five hundred baby deer pelts sewn into a single cloak. It's my masterpiece.;Ew! No!;;;-16;-18;-10;;Thanks;;;18;-20;12;;;
affairs;;965;hunter;;affair1_reign;400;40;Your husband wants me to take him on a long trip, but it's torture being apart from you...;Deny him!;;;-10;12;8;>>;You must go!;;;12;-10;-10;;;
affairs;_;966;king;;;;;My huntsman canceled our trip because he's having an affair with some woman! Can you believe it?;So rude;<i>With the King paying more attention, your fling with <hunter> comes to an end.</i>;;;;8;!affair1_reign;What?;<i>With the King paying more attention, your fling with <hunter> comes to an end.</i>;;;-8;;!affair1_reign;;
affairs;;967;hunter;;affair1_reign;400;40;Perhaps one day the King will have an... accident, and you will rule, with me at your feet.;Wow, chill;;5;-16;-10;;;One day...;;-6;15;14;;>>;;
affairs;_;968;king;;;;;My huntsman told me something terrible! He said you told him to kill me, so that he could rule with you??;I did not!;<i>There was just so much wrong there. You stop seeing <hunter>.</i>;;10;-10;;!affair1_reign;Joking!;People keep telling me women can be funny, but... <i>he shakes his head.</i>;;-10;10;;;;
affairs;;969;explorer;;!affair2_reign;150;20;Behind every powerful woman is a great little lad who acts as her adorable trophy. May I be yours?;;;;;;;affair2_reign;;;;;;;;;
affairs;;970;explorer;;affair2_reign;400;40;It's amazing how strongly you feel for me. It's like I am your arrow, and you dip me in gold.;Lovely;;;-16;12;-10;;Oh please;;;8;-12;10;;;
affairs;;971;explorer;;affair2_reign;400;40;I knew I would end up a literary man, prized boyfriend of a queen, with her paying for all his trips.;Prized??;;;-12;;;-10;I'm paying what?!;;;10;;10;;;
affairs;;973;explorer;;affair2_reign;400;40;I could teach the handmaids geography classes about the world. As a mentor. What do you think, dear?;Sounds nice;;;-20;-19;;;Forget it;;;10;20;;;;
affairs;;974;merchant;;affair2_reign and has_explorer;400;40;Your boyfriend <explorer> is always hanging out by the docks talking to strangers. You think I should follow him?;Do it;;;;5;-5;>>;I trust him;;;-10;5;5;;;
affairs;_;975;merchant;;;;;Your boyfriend has others, for certain. I saw him spend an entire hour just talking to and kissing one wooden mermaid.;Unbelievable!;<i>You end things with <explorer>. It was about time anyway.</i>;;5;8;;!affair2_reign;I don't mind;;-11;-12;-12;-12;;;
affairs;;976;cossack;;!affair3_reign;150;20;In my country it's common for women of nobility to date, even if they're married already. So what do you say?;Oh yes!;;;;;;affair3_reign;You aren't my type;;;;;;;;
affairs;;977;cossack;;affair3_reign and has_king;400;40;What do you tell your husband the King about all the mud wrestling we've taken up lately?;It's exercise;It sure is, <i><cossack> says cheerfully, flexing her arm.</i>;;;;;;It's fashionable;You southern ladies are so funny, <i>she says, and pats your head fondly.</i>;;;;;;;
affairs;;978;general;;affair3_reign and has_cossack;400;40;Why are you always sneaking around the barracks with <cossack> lately? Are you practicing the pistol?;Yes...;Great! <i>he nods</i>. Let me know if you need to borrow any gunpowder.;;;;;;No...;Must be the sword, then! <i>he nods sincerely.</i> Nice work, enjoy!;;;;;;;
affairs;;979;cossack;;affair3_reign;400;40;In my land, you and I would be allowed to share a hearth. Is it the same here?;It should be;;-18;10;12;;>>>;I'm sorry;Maybe it's best we stay just friends, <i>she decides.</i>;10;-10;-16;;!affair3_reign;;
affairs;_;980;archbishop;;;;;You told the foreign woman that you supported hearth-sharing?! You may not say such things.;Forgive me;;25;-20;-18;;;I just did ;;-24;18;19;;;;
affairs;;981;king;;affair3_reign;400;40;I just sometimes feel a little insecure next to <cossack>. She's so strong! Please get a different best friend.;All right;<i>You had been looking for a reason to break it off anyhow.</i>;;-10;-15;;!affair3_reign;Never!;;;10;15;;;;
affairs;;982;priestess;;!affair4_reign;400;20;Sometimes I feel the bond between us is stronger than sacred sisterhood. But we cannot be more... can we?;;;-10;;12;;affair4_reign;;;12;;-14;;;;
affairs;;983;priestess;;affair4_reign;400;40;This thing between us cannot be, my Queen! For you are the one foretold by prophecy, and I a mere acolyte...;Hm true;<i>Even though it's true, she takes offense. The relationship soon fizzles out.</i>;12;12;-8;;!affair4_reign;Forget that!;;-8;-12;12;;;;
affairs;;984;priestess;;affair4_reign;400;40;Perhaps when the war for this land is won, then I can renounce my vows and love again...;I hope so;;;;12;;;I'll forget by then;<i>You and <priestess> are constantly miscommunicating. The affair doesn't work out.</i>;;12;-19;;!affair4_reign;;
affairs;;985;priestess;;affair4_reign;400;40;It's like a romantic story! The acolyte, who has taken vows of purity, is the one true love of the Forever Queen...;The one?;<i>You and <priestess> are constantly miscommunicating. The affair doesn't work out.</i>;-8;8;-8;;!affair4_reign;Love it;;-10;;12;;;;
affairs;;986;priestess;;affair4_reign;400;40;I can no longer hide my feelings behind my faith. My Queen, let's let tonight be the night we meet in secret!;Tonight!;;;;;;>>;Headache;;;;;;;;
affairs;;987;general;;affair4_reign;400;40;I heard from your handmaid that an intruder was seen at your window just now. I will guard you all evening!;Great;;;;;;!affair4_reign;Oh no...;;;;;;!affair4_reign;;
onecard;;1304;monument;;statue and wonderhall;200;8;My Queen! A fire is raging in the city! There's only time to save one of these royal monuments...;My statue!;;;;;;!wonderhall;The hall!;;;;;;!statue;;
onecard;;1305;monument;;wonderhall and philocentre;200;8;Fire tears through your city, my Queen! Which of these monuments can we save?;Philosophy Center!;;;;;;!wonderhall;Hall of Wonders!;;;;;;!philocentre;;
timeline;;989;archbishop;;year>1600 and church<30;400;90;At last I've collected enough evidence! The Queen will now stand trial for heresy and treason to the crown!;What?;<i>You are brought before the grand court, as the church seeks to have you removed!</i>;;;;;>_trialstart;What?;<i>You are brought before the grand court, as the church seeks to have you removed!</i>;;;;;>_trialstart;mus_priestess;
timeline;_trialstart;990;judge;;;;;Yes, it's the trial of the century, what fun! Will you answer the allegations brought against you by the Golden Church?;Yes;;;;;;>;What is this?!;;;;;;>;;
timeline;_;991;king;;;;;I'm so sorry, dear! The church forced me to go ahead with this trial. You didn't do anything, did you?;;;;;;;>_trial1;;;;;;;>_trial1;;
timeline;_trial1;992;judge;;;;;To set the Queen aside, the Church must prove she has failed her duty in four areas. Confess, lady: Have you been pious?;I have!;;;;-5;;>_trial1result;Not as much...;;;5;;;>_trial1result;;
timeline;_trial1result;993;archbishop;;church>50 and yes_archbishop>1;10;max;Even I cannot fault how she gives the surface look of good faith. But her blasphemy lies underneath! It's hidden!;You lie!;<i>Everyone whispers and looks doubtfully at <archbishop>!</i>;;5;;;>_trial2;I'm being truthful!;<i>Everyone whispers and looks doubtfully at <archbishop>!</i>;;-5;;;>_trial2;;
timeline;_trial1result;994;archbishop;;;10;50;Lies! She takes up with floral cultists and fellow foreigners, and they do heathenous astrology! Do you deny it?;;<i>The courtroom fills with passionate murmuring!</i>;;;-5;;>_trial2;;<i>The courtroom fills with passionate murmuring!</i>;;;5;;>_trial2;;
timeline;_trial2;995;judge;;;10;10;Order in the court! And now, do you swear you have done all you can for the people of this land, as Queen?;I swear!;;;-5;;;>_trial2result;Perhaps not all...;;;;;5;>_trial2result;;
timeline;_trial2result;996;priestess;;yes_priestess>1 and people>50;10;100;She is the Queen foretold by legend! She will destroy the church of men and return the age of love!;That isn't helping...;<i><priestess>'s words send everyone into an uproar!</i>;;;-5;;>_trial3;Yes! ;<i><priestess>'s words send everyone into an uproar!</i>;-5;5;;;>_trial3;;
timeline;_trial2result;997;farmer;;yes_farmer>1 and people>50;10;80;The Queen has been there for me, in a way. Every night I cry myself to sleep on a pillow with her face stitched in it.;Oh dear...;<i>For some reason, now everyone in the courtroom is crying.</i>;;-5;;;>_trial3;Good!;<i>For some reason, now everyone in the courtroom is crying.</i>;;;5;;>_trial3;;
timeline;_trial2result;998;handmaid;;;10;50;The Queen is really sweet and caring. Whenever I tell her I don't want to see the poor, she shuts our curtains!;Quiet!!;<i>People in the gallery boo and shake their fists!</i>;;5;5;;>_trial3;This is ridiculous;<i>People in the gallery boo and shake their fists!</i>;;-5;;-5;>_trial3;;
timeline;_trial3;999;judge;;;10;10;Silence, all! And now for the matter of the Queen's strength. My lady, do you attest that you made this kingdom stronger?;I do!;;;;;-5;>_trial3result;I made it kinder!;;;;;5;>_trial3result;;
timeline;_trial3result;1000;general;;yes_general>1 and kingdom>50;10;80;The Queen's courage inspires me to crush even more usurpers beneath my bootheels!;Oh, uh...;<i>Skeptical discourse breaks out in the courtroom after the bizarre speech.</i>;;;;-5;>_trial4;Yes, go on!;<i>The courtroom gallery is now unexpectedly aggressive...</i>;;;;5;>_trial4;;
timeline;_trial3result;1001;chamberlain;;;10;80;Welp, no one ever said she had a mind for strategy. But she looks nice, and that's what counts!;How dare you!;<i>Fevered debates erupt on the role of a Queen's looks.</i>;;;;;>_trial4;It counts!;<i>Fevered debates erupt on the role of a Queen's looks.</i>;;;;;>_trial4;;
timeline;_trial4;1002;judge;;;;10;And now we come to the final duty! My Queen, have you been a boon to your kingdom's economy?;I have!;;;5;-5;;>_trial4result;I spend a bit...;;-5;;5;;>_trial4result;;
timeline;_trial4result;1003;banker;;riverboat;50;max;I must tell the truth: She bought herself a riverboat from the treasury, for her and the ladies to cruise in...;It was little!;;;-5;-5;;>_trial5;So?!;;;5;5;;>_trial5;;
